Mon:12:46:56, Humidity: 47.68, Temp: 74.62, TVOC: 16.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.91
Mon:12:46:57, Humidity: 47.68, Temp: 74.64, TVOC: 3.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 5.00
Mon:12:46:58, Humidity: 47.65, Temp: 74.62, TVOC: 9.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:47:01, Humidity: 47.68, Temp: 74.64, TVOC: 4.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.51, 0.16, 0.20, 4.88
Mon:12:47:01, Humidity: 47.68, Temp: 74.66, TVOC: 11.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 5.00
Mon:12:47:02, Humidity: 47.68, Temp: 74.64, TVOC: 10.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.447 ppm, 1.46, 0.46, 0.09, 0.29, 0.50, 0.16, 0.19, 4.92
Mon:12:47:03, Humidity: 47.67, Temp: 74.62, TVOC: 11.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.447 ppm, 1.45, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.88
Mon:12:47:04, Humidity: 47.69, Temp: 74.62, TVOC: 10.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.447 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:47:07, Humidity: 47.68, Temp: 74.64, TVOC: 4.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.448 ppm, 1.45, 0.46, 0.09, 0.29, 0.50, 0.16, 0.20, 4.99
Mon:12:47:07, Humidity: 47.68, Temp: 74.66, TVOC: 11.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.448 ppm, 1.46, 0.46, 0.09, 0.29, 0.50, 0.16, 0.20, 5.00
Mon:12:47:07, Humidity: 47.68, Temp: 74.62, TVOC: 9.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.449 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:47:08, Humidity: 47.67, Temp: 74.64, TVOC: 10.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.449 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:47:09, Humidity: 47.68, Temp: 74.64, TVOC: 2.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.451 ppm, 1.45, 0.46, 0.08, 0.29, 0.49, 0.15, 0.20, 4.92
Mon:12:47:12, Humidity: 47.70, Temp: 74.58, TVOC: 4.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.451 ppm, 1.46, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.91
Mon:12:47:12, Humidity: 47.71, Temp: 74.60, TVOC: 4.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.451 ppm, 1.46, 0.46, 0.08, 0.29, 0.49, 0.15, 0.20, 4.91
Mon:12:47:13, Humidity: 47.71, Temp: 74.60, TVOC: 9.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.452 ppm, 1.46, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.95
Mon:12:47:14, Humidity: 47.71, Temp: 74.60, TVOC: 10.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.452 ppm, 1.45, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.88
Mon:12:47:15, Humidity: 47.71, Temp: 74.62, TVOC: 13.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:47:17, Humidity: 47.72, Temp: 74.62, TVOC: 5.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:47:17, Humidity: 47.73, Temp: 74.60, TVOC: 11.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.452 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.84
Mon:12:47:18, Humidity: 47.75, Temp: 74.60, TVOC: 14.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.452 ppm, 1.46, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.91
Mon:12:47:19, Humidity: 47.74, Temp: 74.60, TVOC: 16.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.452 ppm, 1.46, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.92
Mon:12:47:20, Humidity: 47.73, Temp: 74.60, TVOC: 3.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.452 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:47:23, Humidity: 47.75, Temp: 74.60, TVOC: 8.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.88
Mon:12:47:23, Humidity: 47.75, Temp: 74.60, TVOC: 12.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.454 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:47:24, Humidity: 47.75, Temp: 74.60, TVOC: 11.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:47:25, Humidity: 47.75, Temp: 74.58, TVOC: 8.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.454 ppm, 1.46, 0.46, 0.08, 0.29, 0.51, 0.16, 0.20, 4.92
Mon:12:47:26, Humidity: 47.77, Temp: 74.58, TVOC: 7.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:47:29, Humidity: 47.77, Temp: 74.62, TVOC: 8.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.49, 0.15, 0.20, 4.88
Mon:12:47:29, Humidity: 47.77, Temp: 74.60, TVOC: 12.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.84
Mon:12:47:29, Humidity: 47.78, Temp: 74.62, TVOC: 11.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.454 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.15, 0.19, 4.90
Mon:12:47:30, Humidity: 47.79, Temp: 74.60, TVOC: 13.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.454 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
Mon:12:47:31, Humidity: 47.79, Temp: 74.60, TVOC: 12.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
Mon:12:47:34, Humidity: 47.79, Temp: 74.56, TVOC: 12.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.454 ppm, 1.44, 0.47, 0.08, 0.29, 0.49, 0.15, 0.20, 4.84
Mon:12:47:34, Humidity: 47.81, Temp: 74.60, TVOC: 6.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.454 ppm, 1.46, 0.47, 0.08, 0.29, 0.50, 0.16, 0.20, 4.99
Mon:12:47:35, Humidity: 47.82, Temp: 74.58, TVOC: 12.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:47:36, Humidity: 47.81, Temp: 74.60, TVOC: 13.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
